Dive Site ID,Dive Site Name,Distance,Lat,Lng,Record #
23944,V.A. Fog (Freeport Liberty Ship Reef),15.92,28.36315,-94.807725,227
23944,V.A. Fog (Freeport Liberty Ship Reef),14.38,28.400261,-94.9002,236
16400,Aransas Jetty,17.99,28.400267,-95.300217,237
23944,V.A. Fog (Freeport Liberty Ship Reef),8.36,28.500258,-94.9002,245
23944,V.A. Fog (Freeport Liberty Ship Reef),23.11,28.538589,-94.43685,247
16400,Aransas Jetty,22.79,28.550269,-95.933575,249
23944,V.A. Fog (Freeport Liberty Ship Reef),15.95,28.578589,-94.550186,251
23944,V.A. Fog (Freeport Liberty Ship Reef),14.43,28.600256,-95.050206,255
23944,V.A. Fog (Freeport Liberty Ship Reef),5.52,28.62358900000001,-94.896867,259
16400,Aransas Jetty,14.51,28.683589,-95.400219,262
16400,Aransas Jetty,12.35,28.683592,-95.461889,263
16400,Aransas Jetty,12.59,28.708592,-95.568561,266
16488,Blue Lagoon,7.12,28.716917,-94.700192,268
22135,Mammoth Lake,16.89,28.792578,-95.347503,275
22135,Mammoth Lake,17.81,28.800253,-95.550225,276
24321,Corpus Christi Bay,3.53,27.811972,-97.2286,279
22135,Mammoth Lake,13.7,28.833586,-95.450222,284
22135,Mammoth Lake,12.36,28.851917,-95.440219,285
16975,The Reef,16.74,28.966911,-95.066872,287
22135,Mammoth Lake,11.63,28.866917,-95.366883,289
16975,The Reef,18.07,28.930244,-95.086872,302
22135,Mammoth Lake,9.95,28.930247,-95.296881,303
22135,Mammoth Lake,13.36,28.948578,-95.215211,306
22135,Mammoth Lake,13.42,28.983578,-95.200208,308
16975,The Reef,13.0,29.000244,-95.000203,313
22135,Mammoth Lake,14.44,29.028578000000003,-95.176875,314
22135,Mammoth Lake,15.05,29.033575,-95.166875,315
22135,Mammoth Lake,15.49,29.044492,-95.160047,316
22135,Mammoth Lake,17.12,29.050242,-95.133539,320
16975,The Reef,15.57,29.066908,-95.016869,325
16975,The Reef,18.95,29.233572,-94.766861,354
16975,The Reef,20.07,29.245236,-94.853528,356
16975,The Reef,20.12,29.245889,-94.853517,357
16975,The Reef,20.35,29.253569,-94.762692,359
16975,The Reef,21.42,29.258667,-94.694639,360
16943,Stetson Bank National Marine Sanctuary,24.76,29.263875,-93.657356,362
16975,The Reef,21.09,29.264681,-94.767417,363
16975,The Reef,21.9,29.273569,-94.736858,365
16975,The Reef,22.7,29.288569,-94.786028,369
16975,The Reef,24.45,29.298569,-94.671858,372
16975,The Reef,24.52,29.299403,-94.671303,373
16975,The Reef,23.51,29.300236,-94.783528,375
16326,Lake Charles,13.42,30.096661,-93.327667,11
22386,288 Lake,21.73,29.500228000000003,-95.000203,406
22135,Mammoth Lake,14.55,29.026911,-95.175208,425
16326,Lake Charles,20.52,29.748556,-93.600156,426
16326,Lake Charles,15.43,29.753553000000004,-93.116814,427
16326,Lake Charles,12.36,29.763556,-93.436819,428
22386,288 Lake,23.79,29.916886,-95.166875,434
24329,Little Sara Gas Rig,8.74,26.064244,-97.144969,110
24329,Little Sara Gas Rig,8.72,26.064522,-97.144692,111
24329,Little Sara Gas Rig,8.96,26.072022,-97.151358,114
17141,Texas Clipper,8.77,26.167019,-97.150247,120
17141,Texas Clipper,15.03,26.317017,-97.166914,126
17141,Texas Clipper,17.23,26.400347,-97.016911,129
23556,Rig 784B,18.99,27.450317,-96.783586,168
23556,Rig 784B,13.28,27.475314,-96.65025,169
23001,Packery Channel,10.92,27.500317,-97.3336,171
22386,288 Lake,19.44,29.769547,-95.075669,7111
22386,288 Lake,19.81,29.775272,-95.072922,7113
22386,288 Lake,19.92,29.777097,-95.072192,7114
22386,288 Lake,19.01,29.784558,-95.098003,7115
22386,288 Lake,20.09,29.779392,-95.070483,7116
22386,288 Lake,20.11,29.780631,-95.071261,7117
22386,288 Lake,20.38,29.782994,-95.067489,7118
22386,288 Lake,20.31,29.786892,-95.072428,7119
22386,288 Lake,20.45,29.791028000000004,-95.073094,7120
22386,288 Lake,20.8,29.810964,-95.085044,7124
22386,288 Lake,20.89,29.814819,-95.087161,7125
22386,288 Lake,21.18,29.8163,-95.082194,7126
22386,288 Lake,21.53,29.819544,-95.0776,7127
22386,288 Lake,22.24,29.849389,-95.096039,7128
24329,Little Sara Gas Rig,8.6,26.038194,-97.128072,5823
24329,Little Sara Gas Rig,9.4,26.050356,-97.150247,5824
24329,Little Sara Gas Rig,8.74,26.064244,-97.144969,5825
24329,Little Sara Gas Rig,8.25,26.069522,-97.138581,5828
24329,Little Sara Gas Rig,9.33,26.117019,-97.161914,5831
24329,Little Sara Gas Rig,9.16,26.122575,-97.158581,5832
17141,Texas Clipper,9.79,26.148333,-97.167778,5834
24329,Little Sara Gas Rig,8.63,26.067022,-97.144136,5843
24329,Little Sara Gas Rig,8.65,26.067578,-97.144692,5844
